Date,Open,High,Low,Close,Adj Close,Volume
1/15/2001,62.5625,68.3125,60.5625,66.3125,57.512592,204819300
1/22/2001,65.875,69.125,63,65.546875,56.848572,242375300
1/29/2001,64.75,67.989998,60,61.549999,53.382092,225889200
2/5/2001,61.189999,63.119999,56,56.400002,48.915535,244060900
2/12/2001,56.25,60.490002,54.119999,55.130001,47.814064,307083600
2/19/2001,55.740002,55.84,48.23,51.18,44.388241,324840800
2/26/2001,52.080002,52.599998,45.650002,46.700001,40.502743,444972400
3/5/2001,47.5,50.66,44.950001,45.099998,39.11507,288888600
3/12/2001,44,45.310001,40.560001,41.200001,35.732609,409808400
3/19/2001,41.439999,43.830002,39.490002,42.799999,37.120285,479730700
3/26/2001,43.470001,43.720001,38,39.150002,33.954655,348791000
4/2/2001,39.169998,39.849998,33.599998,35.950001,31.17931,408362600
4/9/2001,36.790001,42.799999,35.849998,42.799999,37.120285,318264800
4/16/2001,41.939999,49.439999,39.900002,48.400002,41.977154,479881200
4/23/2001,46.990002,47.720001,43.099998,45.150002,39.158436,363314500
4/30/2001,46.25,49.400002,45.110001,48.200001,41.803684,345722200
5/7/2001,48,48.599998,45.09,45.549999,39.505348,273407600
5/14/2001,45.299999,48.790001,43.349998,48.040001,41.664925,307131900
5/21/2001,48.169998,51.950001,47.650002,48.990002,42.48885,326262400
5/28/2001,48.5,48.5,44.080002,46.049999,39.938995,277899600
6/4/2001,46.330002,49.490002,45.290001,47.349998,41.066475,292803500
6/11/2001,46.900002,47,41.279999,42.599998,36.946831,371435000
6/18/2001,42.639999,44.23,41.259998,43.25,37.510567,339597600
6/25/2001,43.610001,46.52,42.48,45.700001,39.635448,297339900
7/2/2001,45.650002,46.48,41.490002,41.650002,36.122894,173487300
7/9/2001,41.889999,44.43,39.869999,43.150002,37.423843,314845200
7/16/2001,43.369999,43.860001,41.139999,41.650002,36.122894,303604000
7/23/2001,42.240002,42.400002,39.310001,41.950001,36.383091,311264100
7/30/2001,42.130001,44,41.400002,43.18,37.449863,253757700
8/6/2001,42.529999,42.849998,39.23,40.279999,34.934692,280911700
8/13/2001,40.59,41.700001,37.709999,37.759998,32.749119,283505200
8/20/2001,37.849998,39.389999,36.540001,39.299999,34.084747,284750700
8/27/2001,39.279999,39.900002,35.75,36.630001,31.769075,305678300
9/3/2001,36.509998,37.5,33.349998,33.700001,29.227888,353765400
9/10/2001,33.490002,34.32,33.34,34.099998,29.574814,80371300
9/17/2001,31.25,32.799999,27.200001,28.190001,24.449089,483801100
9/24/2001,29.08,30.43,27.42,28.98,25.134245,384178400
10/1/2001,28.85,33.200001,27.85,31.76,27.545322,487607700
10/8/2001,31.129999,35.25,30.75,34.549999,29.965084,428328800
10/15/2001,34.119999,36,32,33.549999,29.097794,469081500
10/22/2001,33.439999,37.060001,33.220001,36.009998,31.231335,480714300
10/29/2001,36,36.150002,32.84,35.599998,30.875755,452048200
11/5/2001,36.259998,39.400002,36.16,37.73,32.723083,444288200
11/12/2001,37,40.240002,36.299999,39.369999,34.145466,449971500
11/19/2001,39.790001,40.490002,37.98,39.279999,34.067406,242286700
11/26/2001,39.580002,40.970001,38.689999,39.650002,34.388309,426918300
12/3/2001,39.290001,43.240002,38.439999,41.73,36.192287,414936900
12/10/2001,41.32,42.259998,39.57,40.110001,34.787251,360826800
12/17/2001,40.02,41.5,38.68,39.48,34.240871,331995900
12/24/2001,39.540001,40.799999,39.150002,40.330002,34.978073,123828900
12/31/2001,40.310001,42.290001,38.91,41.669998,36.140236,280531700
1/7/2002,42.110001,42.599998,40.110001,40.849998,35.429062,363626900
1/14/2002,40.490002,40.75,38.220001,38.59,33.468956,386440300
1/21/2002,39,39.509998,37.330002,38.830002,33.677135,292825900
1/28/2002,39.150002,39.400002,36.849998,38.139999,33.078678,363383800
2/4/2002,37.959999,38.07,34.970001,36.169998,31.370121,446333700
2/11/2002,36.139999,37.57,35.639999,35.779999,31.031864,327305800
2/18/2002,35.369999,35.459999,33.09,33.650002,29.184525,388121900
2/25/2002,34,35.75,33.75,35.740002,30.997183,460630100
3/4/2002,35.700001,39.029999,35.400002,38.669998,33.538342,454070300
3/11/2002,38.349998,39.189999,36.59,37.23,32.289452,359730500
3/18/2002,37.630001,37.939999,35.900002,36.68,31.812437,347831300
3/25/2002,36.689999,36.900002,35.400002,36.060001,31.274712,303950600
4/1/2002,35.799999,36.900002,34.18,34.369999,29.808975,393204200
4/8/2002,33.470001,34.98,32.880001,33.52,29.071779,410635300
4/15/2002,33.799999,35.5,33.200001,34.459999,29.887026,363874500
4/22/2002,34.009998,34.009998,31.01,31.040001,26.920872,409916900
4/29/2002,31.24,32.189999,29.48,29.74,25.793396,468615800
5/6/2002,29.629999,31.889999,28.42,29.559999,25.637285,546947100
5/13/2002,29.870001,33.630001,29.67,32.93,28.560085,524389300
5/20/2002,32.599998,32.700001,30.41,31.24,27.094341,422187700
5/27/2002,31.469999,31.52,29.9,30.040001,26.053589,314287500
6/3/2002,30,30.25,27.52,28.299999,24.544491,467935900
6/10/2002,28.360001,28.75,26.200001,27.620001,23.954733,530389900
6/17/2002,28,29.15,25.65,25.82,22.393593,550307400
6/24/2002,25.450001,26.799999,24.389999,26.1,22.63644,714301900
7/1/2002,25.969999,26.389999,23.09,26.34,22.844587,334218800
7/8/2002,26.200001,26.549999,23.530001,24.799999,21.508953,603992300
7/15/2002,24.68,26.440001,23.75,23.99,20.806444,684612300
7/22/2002,23.85,24.5,21.639999,22.67,19.661612,737264900
7/29/2002,23.27,24.690001,21.82,22.25,19.297348,479816500
8/5/2002,22.110001,23.709999,21.299999,23.33,20.234028,531214300
8/12/2002,23.049999,25,22.469999,24.700001,21.422226,470079600
8/19/2002,24.77,26.209999,24.68,25.15,21.812508,422919400
8/26/2002,25.299999,25.51,23.02,23.49,20.372791,447741200
9/2/2002,23.059999,23.43,21.93,22.85,19.817724,342131100
9/9/2002,22.67,24.35,22.389999,22.99,19.939142,371677700
9/16/2002,22.860001,23.209999,21.48,21.67,18.794312,404716200
9/23/2002,21.450001,22.33,20.65,21.309999,18.48208,459019900
9/30/2002,21.07,21.99,20.110001,20.35,17.649481,444620100
10/7/2002,20.26,22.379999,19.76,22.219999,19.271324,511653800
10/14/2002,21.870001,23.85,21.780001,23.809999,20.650335,475204600
10/21/2002,23.52,24.860001,23.299999,24.700001,21.422226,423584100
10/28/2002,25,25.4,23.370001,25.25,21.89924,452248400
11/4/2002,26.049999,26.82,24.959999,25.07,21.743128,466066600
11/11/2002,24.950001,26.450001,24.15,26.440001,22.931326,437486300
11/18/2002,26.709999,27.940001,25.299999,27.719999,24.041458,418763400
11/25/2002,27.76,28.290001,26.9,27.719999,24.041458,260980000
12/2/2002,28.42,28.790001,25.74,26.469999,22.95734,458508500
12/9/2002,26.219999,26.690001,25.01,25.040001,21.717106,344615300
